myneta_id,name,constituency,district,party,age,education,criminal_cases,criminal_details,movable_self,movable_spouse,movable_dependents,movable_total,immovable_self,immovable_spouse,immovable_dependents,immovable_total,total_assets,liabilities,affidavit_url
55,"Abinaya, B.",SRIVILLIPUTHUR (SC),VIRUDHUNAGAR,Naam Tamilar Katchi,27,Post Graduate,0,,63500,125000,0,188500,0,320000,0,320000,508500,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=55
56,"Ramchandran, M.",ORATHANADU,THANJAVUR,DMK,76,Graduate Professional,2,"143, 341, 353, 269; 143, 341, 188",378158,640416,0,1018574,17577000,0,0,17577000,18595574,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=56
57,Anish Fathima. A,CUMBUM,THENI,Naam Tamilar Katchi,38,12th Pass,0,,1394443,1054467,0,2448910,4521000,0,0,4521000,6969910,900000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=57
58,Chinnappan P,VILATHIKULAM,THOOTHUKUDI,AIADMK,51,10th Pass,1,"143, 269, 270, 283",5900000,3108000,50000,9058000,5000000,5500000,0,10500000,19558000,1920000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=58
59,Anburose.D,DINDIGUL,DINDIGUL,IND,49,12th Pass,0,,490723,2994844,92667,3578234,35000000,100000,0,35100000,38678234,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=59
60,Simon Justin A,ATHOOR,DINDIGUL,Naam Tamilar Katchi,39,Post Graduate,0,,21200,0,187000,208200,0,0,1500000,1500000,1708200,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=60
61,Shrirathna,EDAPPADI,SALEM,Naam Tamilar Katchi,33,Post Graduate,0,,279411,151848,0,431259,0,0,0,0,431259,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=61
62,M.Perm Chandar,BODINAYAKKANUR,THENI,Naam Tamilar Katchi,38,Post Graduate,1,"143, 341",3888869,3892389,69705,7850963,3000000,300000,0,3300000,11150963,3432055,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=62
63,M Rajbabu,ANAIKATTU,VELLORE,IND,36,12th Pass,0,,11132,65196,0,76328,0,0,0,0,76328,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=63
64,Sheikdavood.A.M,ANTHIYUR,ERODE,IND,58,Graduate,0,,0,0,0,0,0,0,0,0,0,50000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=64
65,Shanmugavel.K.S,ANTHIYUR,ERODE,AIADMK,62,10th Pass,0,,346694,258000,1155989,1760683,3710000,1000000,1500000,6210000,7970683,632194,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=65
66,Thangavel. P. S. N,ARAVAKURICHI,KARUR,Amma Makkal Munnettra Kazagam,53,Graduate Professional,1,"171B, 171E",26102611,7131617,90000,33324228,31650000,6166500,0,37816500,71140728,10499114,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=66
67,A P Jayasankaran,ATTUR (SC),SALEM,AIADMK,50,Others,0,,2066571,1347957,1300000,4714528,6000000,0,45400000,51400000,56114528,725959,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=67
68,"Dhanapal, P",AVANASHI (SC),TIRUPPUR,AIADMK,69,Post Graduate,0,,2990386,15352762,0,18343148,450000,30650000,0,31100000,49443148,18116143,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=68
69,Mathiazhagan D,BARGUR,KRISHNAGIRI,DMK,54,Graduate,0,,309748865,207041828,66740340,583531033,236828233,39696450,5150000,281674683,865205716,175893071,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=69
70,Krishnan A,BARGUR,KRISHNAGIRI,AIADMK,61,Graduate,0,,2440360,1628119,0,4068479,2850000,0,0,2850000,6918479,1126000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=70
72,Liakathali O,METTUPALAYAM,COIMBATORE,IND,46,8th Pass,0,,105000,5600,0,110600,0,0,0,0,110600,262421,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=72
73,Rathinavel. R.,BHUVANAGIRI,CUDDALORE,Naam Tamilar Katchi,45,10th Pass,0,,1660000,930000,0,2590000,950000,300000,0,1250000,3840000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=73
74,P.Kumaragurubaran,BODINAYAKKANUR,THENI,IND,47,Post Graduate,0,,208876,400000,0,608876,0,0,0,0,608876,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=74
75,C Mahendran,MADATHUKULAM,TIRUPPUR,AIADMK,49,Post Graduate,0,,76294333,86967379,7322974,170584686,90240000,192832000,10405000,293477000,464061686,60507817,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=75
76,Manogaran S,VELLORE,VELLORE,Kamarajar Deseeya Congress,60,5th Pass,0,,1320000,0,0,1320000,0,0,0,0,1320000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=76
