myneta_id,name,constituency,party,age,education,criminal_cases,criminal_details,movable_total,immovable_total,total_assets,liabilities,affidavit_url
2390,Veerapandi.V,MANAMADURAI (SC),IND,40,8th Pass,0,,549400,0,549400,340000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2390
2391,T.M.Puratchi Mani,THIRUVIDAIMARUDUR (SC),BSP,43,Doctorate,0,,1511500,1000000,2511500,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2391
2392,Kannaiyan. T,THIRUVIDAIMARUDUR (SC),L,64,8th Pass,13,IPC; BNS; IPC; IPC; IPC; IPC; BNS; IPC; IPC; IPC; IPC; IPC; IPC,275500,50000,325500,55000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2392
2393,A.Viswanathan,THIRUVIDAIMARUDUR (SC),Tamizhaga Vaazhvurimai Katchi,38,12th Pass,0,,346000,0,346000,250000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2393
2394,Aravindaraj. R,THIRUVIDAIMARUDUR (SC),IND,40,Graduate,0,,1000,0,1000,60000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2394
2395,Keerthiga. K,THIRUVIDAIMARUDUR (SC),IND,27,Post Graduate,0,,443933,0,443933,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2395
2396,Selvarani. S,THIRUVIDAIMARUDUR (SC),IND,41,8th Pass,0,,1197992,1800000,2997992,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2396
2397,M.Tamilmaran,THIRUVIDAIMARUDUR (SC),IND,34,Post Graduate,0,,75000,0,75000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2397
2398,Dhanasekar,THIRUVIDAIMARUDUR (SC),IND,41,Graduate Professional,0,,100000,0,100000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2398
2399,L.Prabakaran,THIRUVIDAIMARUDUR (SC),IND,30,Others,0,,36000,0,36000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2399
2400,P.Manikandan,THIRUVIDAIMARUDUR (SC),IND,37,Post Graduate,0,,35000,0,35000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2400
2401,C. Chandrasekaran,PAPANASAM,Thamizh Desiya Munnetra Kazhagam,45,Graduate Professional,3,IPC; IPC; IPC,2392136,325000,2717136,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2401
2402,B. Dhamodharan,PAPANASAM,Tamizhaga Vaazhvurimai Katchi,49,12th Pass,2,BNS; BNS,46000,2500000,2546000,1065000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2402
2403,K. Masilamani,PAPANASAM,L,58,5th Pass,0,,152700,300000,452700,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2403
2404,A. Anis Fathima Abdul Rahim,PAPANASAM,IND,30,12th Pass,0,,510000,0,510000,2700000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2404
2405,V. Kulandhaivelu,PAPANASAM,IND,62,8th Pass,0,,508000,100000,608000,100000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2405
2406,A S Thangarasu,PAPANASAM,IND,59,5th Pass,0,,12000,4000000,4012000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2406
2407,V. Thiyagarajan,PAPANASAM,IND,39,Graduate Professional,0,,11000,196800,207800,166682,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2407
2408,S. Natarajan,PAPANASAM,IND,73,12th Pass,0,,3431819,7000000,10431819,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2408
2409,K. Rajendran,PAPANASAM,IND,47,12th Pass,0,,13700,0,13700,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2409
2410,S. Vijayakumar,THIRUVAIYARU,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,48,10th Pass,0,,183000,0,183000,700000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2410
2411,Vijaya Babu,THIRUVAIYARU,Tamizhaga Vaazhvurimai Katchi,42,12th Pass,0,,6435000,2700000,9135000,1200000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2411
2412,V. Venu,THIRUVAIYARU,Puthiya Tamilagam,60,10th Pass,1,IPC,9605766,1300000,10905766,3557975,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2412
2413,Abiman,THIRUVAIYARU,IND,27,Graduate Professional,0,,2342000,0,2342000,78050,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2413
2414,Er.S. Arjun,THIRUVAIYARU,IND,33,Graduate Professional,0,,791000,0,791000,1300000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2414
2415,R. Sathiyanarayanan,THIRUVAIYARU,IND,37,10th Pass,0,,263817,0,263817,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2415
2416,Rajasekaran. S,THIRUVAIYARU,IND,44,12th Pass,0,,1574700,0,1574700,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2416
2417,R. Rajkumar,THIRUVAIYARU,IND,44,Post Graduate,0,,1106800,2000000,3106800,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2417
2418,Jayaindhraeswaran,THIRUVAIYARU,IND,31,Post Graduate,0,,207300,0,207300,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2418
2419,C. Dinesh Kumar,COONOOR,IND,34,Graduate Professional,0,,3956710,388140,4344850,2440000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2419
2420,D. Vidhyasagar,COONOOR,IND,28,Graduate,0,,95061,0,95061,986400,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2420
2421,M.Jagadeesan,GUMMIDIPOONDI,BSP,34,Graduate Professional,0,,1770000,900000,2670000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2421
2422,Sdk Sankar,GUMMIDIPOONDI,Aanaithinthiya Jananayaka Pathukappu Kazhagam,46,Graduate Professional,1,IPC,8377647,13085927,21463574,4594640,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2422
2423,K. Chandra Sekar,GUMMIDIPOONDI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,51,Illiterate,0,,2375000,12500000,14875000,130000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2423
2424,M.Kumaran,GUMMIDIPOONDI,IND,44,Graduate,0,,235289,130800,366089,941000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2424
2425,Gopal.K,GUMMIDIPOONDI,IND,63,10th Pass,0,,2620969,500000,3120969,220000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2425
2426,T.Govindan,GUMMIDIPOONDI,IND,43,10th Pass,0,,1748000,0,1748000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2426
2427,A.H. Siva Ganesh,GUMMIDIPOONDI,IND,43,Post Graduate,0,,3890500,67640000,71530500,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2427
2428,D.Sudhakar,GUMMIDIPOONDI,IND,35,5th Pass,0,,628670,200000,828670,500000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2428
2429,V.Sudhakar,GUMMIDIPOONDI,IND,40,8th Pass,0,,47400,400000,447400,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2429
2430,D.Dinesh,GUMMIDIPOONDI,IND,42,Graduate Professional,0,,19809729,7590000,27399729,12154977,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2430
2431,G.Ranjith,GUMMIDIPOONDI,IND,25,Graduate Professional,0,,466754,0,466754,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2431
2432,Muthuraj.G,TIRUTTANI,BSP,56,Illiterate,0,,131200,0,131200,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2432
2433,Balaji.A,TIRUTTANI,Thakkam Katchi,37,Graduate Professional,0,,1872860,1700000,3572860,47000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2433
2434,Pavendhan.Y.R,TIRUTTANI,Tamizhaga Vaazhvurimai Katchi,47,Post Graduate,0,,263233,0,263233,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2434
2435,Krishnamoorthy.K,TIRUTTANI,IND,29,Others,0,,4123300,3200000,7323300,3004000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2435
2436,Krishnamoorthy.D,TIRUTTANI,IND,45,12th Pass,0,,2006610,3000000,5006610,1962555,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2436
2437,Krishnamoorthy.M,TIRUTTANI,IND,52,Graduate,0,,1531671,0,1531671,1200000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2437
2438,Shettu.S,TIRUTTANI,IND,57,Graduate,0,,70000,0,70000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2438
2439,Dr.A.V.Narendran,TIRUTTANI,IND,43,Graduate Professional,0,,1550000,1220000,2770000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2439
2440,Jambu.B,TIRUTTANI,IND,35,Others,0,,335000,0,335000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2440
2441,Rajasekaran.K,POONAMALLEE (SC),BSP,33,12th Pass,0,,730500,0,730500,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2441
